Text,Sentiment
The air conditioning unit is not working properly causing discomfort,complain
The service was disappointing.,complain
The building management is unresponsive to concerns,complain
The rent increase is not justified by the services provided,complain
I have a question about noise insulation who can I talk to?,help
The service was neutral.,regular
The product was poor.,complain
Where do I find the terms of the lease agreement?,help
The trash disposal area is often messy and unhygienic,complain
How do I get my security deposit back?,help
The price is poor.,complain
The neighbors are not properly disposing of their trash causing a mess,complain
Is there a contact for landscaping concerns or suggestions?,help
The quality was terrible.,complain
Where can I find the building's rules and regulations?,help
I've noticed a crack in the floor tiles that needs repair,complain
Can I get assistance with window or balcony maintenance?,help
The service was superb.,regular
The price was fantastic.,regular
What should I do if I notice a safety hazard?,help
I've noticed cracks in the walls that need urgent attention,complain
I am curious are there any rules about balcony use?,help
What should I do if I lose my keys?,help
Where can I pay my rent?,help
I have a question about modifying the interior design . who can help?,help
The price was worst.,complain
The service is fair.,regular
I'm writing to confirm the renewal of my lease for the upcoming year,regular
Are there guidelines for using shared amenities like the gym or pool?,help
There's a recurring problem with pests in my apartment,complain
The building is signage is unclear or misleading,complain
I want to know what are the quiet hours in this building,help
I want to know what are the quiet hours in this building?,help
I appreciate the efforts to enhance security measures in the building,regular
I've encountered repeated problems with the electrical wiring,complain
There's inadequate lighting in the hallways,complain
The exterior doors are not properly sealed causing drafts,complain
The experience was moderate.,regular
Thanks for always being responsive to our concerns and feedback,regular
How do I access the laundry room?,help
The service was bad.,complain
The rooftop area is not accessible as promised,complain
The new lighting in the parking area is much appreciated for added security,regular
I want to ask what are the garbage disposal guidelines?,help
Can you clarify the policies regarding pets in the apartment,help
The product was amazing.,regular
The mail and package delivery system is disorganized,complain
The product was terrible.,complain
What are the gym hours in our building?,help
The vending machines in the building are always empty,complain
How do I submit a maintenance request?,help
The new security cameras make me feel much safer. Thank you,regular
Can you explain the process for renewing the lease,help
What are the rules for using the barbecue area?,help
Who do I talk to if I have a problem?,help
Can I discuss options for renewable energy use in my apartment?,help
I need to know more about bicycle storage options. who can provide information?,help
The experience was fair.,regular
The experience is okay.,regular
The apartment finishes are of poor quality,complain
I would like to express gratitude for the recent building improvements,regular
Who do I inform about a change in roommates?,help
I wanted to inform you about a positive experience with a neighbor,regular
Is there a guide for using the community portal?,help
The service is worst.,complain
The price was moderate.,regular
There's a lack of hot water in the mornings,complain
Thank you for always being so prompt and professional in your communications,regular
The service was okay.,regular
Can I request maintenance assistance for any issues with the apartment,help
The water quality in the building is a concern,complain
Where can I pay my rent?,help
Can I make changes to the apartment such as painting or installing shelves,help
I need clarification on parking rules who can provide that?,help
The price was good.,regular
I am curious how do I report a maintenance issue,help
The quality was disappointing.,complain
I need help understanding my lease agreement who do I talk to?,help
I'm interested in upgrading my apartment who do I speak with?,help
The building's entry system is often malfunctioning,complain
What should I do in case of an emergency?,help
How can I update my contact information?,help
What are the guidelines for using the rooftop area?,help
The pet friendly policy here is wonderful. Thanks for accommodating our furry friends,regular
The washing machine in the laundry room is consistently malfunctioning,complain
How do I access the laundry facilities?,help
The experience was superb.,regular
I appreciate the clear communication regarding changes in building access,regular
I wanted to share positive feedback about the responsiveness of the front desk,regular
There's an ongoing issue with the internet connection provided,complain
How can I update my contact information?,help
The plumbing in my apartment is causing constant trouble,complain
Can I get advice on setting up home security features?,help
Im curious about community events where can I get information?,help
I want to understand how are utility bills handled,help
The quality is good.,regular
The front door lock is faulty posing a security issue,complain
The storage units are inadequate or insecure,complain
Are there specific hours for laundry facilities?,help
The price was disappointing.,complain
Can you provide details on the security measures in place for the building,help
I've encountered difficulties with the doorbell not functioning,complain
The product is fair.,regular
I'm facing recurring problems with the garbage collection service,complain
The service is good.,regular
Who do I inform about a change in roommates?,help
I've experienced issues with the intercom system not working,complain
The experience was bad.,complain
The price was excellent.,regular
How do I renew my lease?,help
Rent paid on time for this month,regular
There is a lack of information on local amenities and services,complain
I need help in setting up internet who should I contact,help
Thanks for organizing the community garage sale event. It was a hit,regular
How do I report a maintenance issue?,help
Where do I ask for help?,help
I acknowledge receipt of the annual safety inspection notice,regular
The communal areas are often dirty and not well maintained,complain
I have a question about recycling and trash disposal. who can I ask?,help
What's the policy on pet ownership in the building?,help
Happy with the cleanliness of the building,regular
The experience was amazing.,regular
The elevator frequently breaks down  causing inconvenience,complain
The building's recycling policies are not clear or effective,complain
The building is access for disabled persons is inadequate,complain
I need information on the latest building upgrades who can update me?,help
The product was okay.,regular
I appreciate the prompt resolution of the maintenance request,regular
There's a lack of community engagement or events,complain
The experience is poor.,complain
I like the new paint in the hallway,regular
The apartment's insulation is insufficient for winter,complain
Who should I notify if I'll be away for an extended period?,help
The laundry machines are always occupied or broken,complain
The quality was fair.,regular
I have received the package delivered to the front office,regular
The hallway lights have been flickering,complain
The service was average.,regular
What is the procedure for moving out?,help
Can I get advice on best practices for waste management?,help
The product is worst.,complain
The experience is good.,regular
The experience was terrible.,complain
How do I report a maintenance issue?,help
Can you guide me through the rent payment process?,help
Thank you for your service,regular
The price is fair.,regular
Who do I contact for noisecomplaints?,help
The price is average.,regular
The stairwell lights are frequently out creating a safety hazard,complain
Thank you for addressing the noisecomplaint in a timely manner,regular
Really appreciate the quick response,regular
The quality is superb.,regular
I have a question about energy saving practices in the apartment who can answer?,help
The lobby decorations for the holidays were lovely,regular
The product is disappointing.,complain
There's a problem with littering around the building,complain
The product is good.,regular
The price was amazing.,regular
The service was excellent.,regular
The garbage disposal system is clogged and not functioning,complain
I have a question about the use of surveillance cameras whom should I contact?,help
What is the procedure for moving out?,help
My heater isn't working properly,complain
There's a lack of bicycle parking facilities,complain
The water pressure in the shower is too low,complain
The noise from construction work is disruptive,complain
The product was moderate.,regular
